Nro;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;Del Giro;96719620-7;ADT SECURITY SERVICES S.A.;11719657;01/04/2024;28/03/2024 07:19:08;0;37101;7049;;;44150;;;;;0;0;;;;
2;Del Giro;76521007-0;ALGUIEN TE CUIDA SPA;13336;01/04/2024;01/04/2024 06:33:57;0;556510;105737;;;662247;;;;;0;0;;;;
3;Del Giro;76521007-0;ALGUIEN TE CUIDA SPA;13437;01/04/2024;01/04/2024 06:44:56;0;556510;105737;;;662247;;;;;0;0;;;;
4;Del Giro;76521007-0;ALGUIEN TE CUIDA SPA;13469;01/04/2024;01/04/2024 06:48:23;0;422948;80360;;;503308;;;;;0;0;;;;
5;Del Giro;76259791-8;OBREQUE ABARCA Y COMPANIA LIMITADA;13453;01/04/2024;01/04/2024 09:14:17;0;55000;10450;;;65450;;;;;0;0;;;;
6;Del Giro;76578110-8;SERVICIO TECNICO GMB SPA.;200170;01/04/2024;01/04/2024 09:48:52;0;323529;61471;;;385000;;;;;0;0;;;;
7;Del Giro;76578110-8;SERVICIO TECNICO GMB SPA.;200171;01/04/2024;01/04/2024 09:49:02;0;171652;32614;;;204266;;;;;0;0;;;;
8;Del Giro;77055131-5;ACCESORIOS, AUTOMOTRIZ LUZ MARINA ESPINOZA COLMENAREZ  E.I.R.L.;702;01/04/2024;01/04/2024 10:41:34;0;302520;57479;;;359999;;;;;0;0;;;;
9;Del Giro;89274100-K;SERVICIOS PROSEGUR LTDA.;100765;30/03/2024;01/04/2024 10:56:26;0;3814751;724803;;;4539554;;;;;0;0;;;;
10;Del Giro;76058647-1;VERISURE CHILE SPA;8682486;01/04/2024;01/04/2024 11:24:13;0;38213;7261;;;45474;;;;;0;0;;;;
11;Del Giro;76058647-1;VERISURE CHILE SPA;8682177;01/04/2024;01/04/2024 11:24:09;0;38955;7402;;;46357;;;;;0;0;;;;
12;Del Giro;76058647-1;VERISURE CHILE SPA;8691317;01/04/2024;01/04/2024 11:26:22;0;37101;7049;;;44150;;;;;0;0;;;;
13;Del Giro;76058647-1;VERISURE CHILE SPA;8685401;01/04/2024;01/04/2024 11:24:55;0;38213;7261;;;45474;;;;;0;0;;;;
14;Del Giro;76058647-1;VERISURE CHILE SPA;8701040;01/04/2024;01/04/2024 11:28:36;0;37101;7049;;;44150;;;;;0;0;;;;
15;Del Giro;76058647-1;VERISURE CHILE SPA;8692321;01/04/2024;01/04/2024 11:26:36;0;37101;7049;;;44150;;;;;0;0;;;;
16;Del Giro;76058647-1;VERISURE CHILE SPA;8688692;01/04/2024;01/04/2024 11:25:45;0;38955;7402;;;46357;;;;;0;0;;;;
17;Del Giro;76058647-1;VERISURE CHILE SPA;8689093;01/04/2024;01/04/2024 11:25:52;0;42295;8036;;;50331;;;;;0;0;;;;
18;Del Giro;76058647-1;VERISURE CHILE SPA;8696224;01/04/2024;01/04/2024 11:27:30;0;43779;8318;;;52097;;;;;0;0;;;;
19;Del Giro;76058647-1;VERISURE CHILE SPA;8694996;01/04/2024;01/04/2024 11:27:13;0;41181;7825;;;49006;;;;;0;0;;;;
20;Del Giro;76058647-1;VERISURE CHILE SPA;8696197;01/04/2024;01/04/2024 11:27:29;0;44150;8388;;;52538;;;;;0;0;;;;
21;Del Giro;76058647-1;VERISURE CHILE SPA;8696860;01/04/2024;01/04/2024 11:27:37;0;42666;8106;;;50772;;;;;0;0;;;;
22;Del Giro;76058647-1;VERISURE CHILE SPA;8697821;01/04/2024;01/04/2024 11:27:50;0;40069;7613;;;47682;;;;;0;0;;;;
23;Del Giro;78800020-0;SOCIEDAD ADMINISTRADORA DE RIESGO S.A;6823;01/04/2024;01/04/2024 12:15:00;0;346800;65892;;;412692;;;;;0;0;;;;
24;Del Giro;77445029-7;SERVICENTRO WASH ME NOW SPA;297;01/04/2024;01/04/2024 12:27:42;0;1080000;205200;;;1285200;;;;;0;0;;;;
25;Del Giro;76360903-0;Rentokil Initial Chile SpA.;571731;01/04/2024;01/04/2024 12:54:01;0;294262;55910;;;350172;;;;;0;0;;;;
26;Del Giro;76360903-0;Rentokil Initial Chile SpA.;571732;01/04/2024;01/04/2024 12:56:38;0;178916;33994;;;212910;;;;;0;0;;;;
27;Del Giro;77445029-7;SERVICENTRO WASH ME NOW SPA;298;01/04/2024;01/04/2024 13:03:21;0;1080000;205200;;;1285200;;;;;0;0;;;;
28;Del Giro;76058647-1;VERISURE CHILE SPA;8724789;01/04/2024;01/04/2024 13:07:42;0;40811;7754;;;48565;;;;;0;0;;;;
29;Del Giro;76058647-1;VERISURE CHILE SPA;8728161;01/04/2024;01/04/2024 13:08:28;0;41181;7825;;;49006;;;;;0;0;;;;
30;Del Giro;76058647-1;VERISURE CHILE SPA;8734164;01/04/2024;01/04/2024 13:09:52;0;40811;7754;;;48565;;;;;0;0;;;;
31;Del Giro;76058647-1;VERISURE CHILE SPA;8734375;01/04/2024;01/04/2024 13:09:54;0;40811;7754;;;48565;;;;;0;0;;;;
32;Del Giro;96537930-4;Bansa Santander S.A.;282323;01/04/2024;01/04/2024 13:47:14;0;19799700;3761943;;;23561643;;;;;0;0;;;;
33;Del Giro;96537930-4;Bansa Santander S.A.;282324;01/04/2024;01/04/2024 13:47:14;0;26664538;5066262;;;31730800;;;;;0;0;;;;
34;Del Giro;96537930-4;Bansa Santander S.A.;282325;01/04/2024;01/04/2024 13:47:14;0;19799700;3761943;;;23561643;;;;;0;0;;;;
35;Del Giro;96537930-4;Bansa Santander S.A.;282326;01/04/2024;01/04/2024 13:47:14;0;17185463;3265238;;;20450701;;;;;0;0;;;;
36;Del Giro;96537930-4;Bansa Santander S.A.;282327;01/04/2024;01/04/2024 13:47:14;0;9656134;1834665;;;11490799;;;;;0;0;;;;
37;Del Giro;96537930-4;Bansa Santander S.A.;282328;01/04/2024;01/04/2024 13:47:14;0;21874537;4156162;;;26030699;;;;;0;0;;;;
38;Del Giro;96537930-4;Bansa Santander S.A.;282329;01/04/2024;01/04/2024 13:47:14;0;19520700;3708933;;;23229633;;;;;0;0;;;;
39;Del Giro;96537930-4;Bansa Santander S.A.;282333;01/04/2024;01/04/2024 14:04:38;0;28517395;5418305;;;33935700;;;;;0;0;;;;
40;Del Giro;96537930-4;Bansa Santander S.A.;282334;01/04/2024;01/04/2024 14:04:38;0;73590800;13982252;;;87573052;;;;;0;0;;;;
41;Del Giro;96537930-4;Bansa Santander S.A.;282335;01/04/2024;01/04/2024 14:04:38;0;21874537;4156162;;;26030699;;;;;0;0;;;;
42;Del Giro;96537930-4;Bansa Santander S.A.;282370;01/04/2024;01/04/2024 14:33:14;0;13940700;2648733;;;16589433;;;;;0;0;;;;
43;Del Giro;96537930-4;Bansa Santander S.A.;282371;01/04/2024;01/04/2024 14:33:14;0;11588908;2201893;;;13790801;;;;;0;0;;;;
44;Del Giro;76393732-1;SERVICIOS AUTOMOTRICES CHRISTIAN ANDRÉS DUIJVESTEIJN CARRASCO E.I.R.L.;3466;01/04/2024;01/04/2024 14:35:26;0;118565;22527;;;141092;;;;;0;0;;;;
45;Del Giro;76393732-1;SERVICIOS AUTOMOTRICES CHRISTIAN ANDRÉS DUIJVESTEIJN CARRASCO E.I.R.L.;3467;01/04/2024;01/04/2024 14:43:29;0;160000;30400;;;190400;;;;;0;0;;;;
46;Del Giro;85896100-9;SERVICIOS EQUIFAX CHILE LTDA.;3514833;31/03/2024;01/04/2024 14:52:33;0;394490;74953;;;469443;;;;;0;0;;;;
47;Del Giro;76592311-5;CERTIFYCAR SPA;683;01/04/2024;01/04/2024 15:54:37;0;6240000;1185600;;;7425600;;;;;0;0;;;;
48;Del Giro;96756430-3;Chilexpress S A;11975843;01/04/2024;01/04/2024 16:08:12;0;202173;38413;;;240586;;;;;0;0;;;;
49;Del Giro;76902950-8;SOCIEDAD TAG PUBLICIDAD LTDA;13011;01/04/2024;01/04/2024 18:04:05;0;336000;63840;;;399840;;;;;0;0;;;;
50;Del Giro;76574856-9;I-CAR SPA;20706;01/04/2024;01/04/2024 18:08:44;0;48000;9120;;;57120;;;;;0;0;;;;
51;Del Giro;78254960-K;AUTOTRANS LIMITADA;5138;31/03/2024;01/04/2024 18:12:51;0;8960000;1702400;;;10662400;;;;;0;0;;;;
52;Del Giro;76768191-7;LG SERVICIO SPA;420;01/04/2024;01/04/2024 18:14:58;0;618854;117582;;;736436;;;;;0;0;;;;
53;Del Giro;77248210-8;ESTACIONAMIENTO CENTRAL PARKING SYSTEM CHILE S.A.;126169;01/04/2024;01/04/2024 19:02:57;0;148374;28191;;;176565;;;;;0;0;;;;
54;Del Giro;81923300-4;RENE TAPIA Y CIA;4584;01/04/2024;01/04/2024 19:05:28;0;40000;7600;;;47600;;;;;0;0;;;;
55;Del Giro;78290820-0;SISTEMAS DE INFORMACIÓN PARA LA GESTION ADMINISTRA;14482;01/04/2024;01/04/2024 19:33:42;0;445208;84590;;;529798;;;;;0;0;;;;
56;Del Giro;76510248-0;TRANSPORTES AUXILIOMECANICO.CL Y COMPAÑÍA LIMITADA;1791;01/04/2024;01/04/2024 20:24:47;0;118412;22498;;;140910;;;;;0;0;;;;
57;Del Giro;76058647-1;VERISURE CHILE SPA;8751941;01/04/2024;01/04/2024 22:08:42;0;40811;7754;;;48565;;;;;0;0;;;;
58;Del Giro;76058647-1;VERISURE CHILE SPA;8769651;01/04/2024;01/04/2024 22:12:47;0;40811;7754;;;48565;;;;;0;0;;;;
59;Del Giro;76058647-1;VERISURE CHILE SPA;8756171;01/04/2024;01/04/2024 22:09:42;0;40439;7684;;;48123;;;;;0;0;;;;
60;Del Giro;7987552-K;RODOLFO ANTONIO RIVAS CASTILLO;719;01/04/2024;01/04/2024 22:53:00;0;40000;7600;;;47600;;;;;0;0;;;;
